text_customer,text_delta,ground_truth_intent,escalate_boolean,escalation_reason,pred_intent,pred_escalate,pred_reason,pred_reply,llm_judge_score,pipeline_status,pipeline_error,llm_judge_reasoning
Luci at @Delta deserves all the awards for helping me get on a new flight so can make it home today. I'd be stranded 🙌🏼 #flightdelays,"@543037 Ashley, I am happy to hear about your experience with Luci. I will be glad to forward your comments on to her leadership team.  *TBW",Praise_and_Feedback,False,,Praise_and_Feedback,False,,"Hi there! 🌟 Thank you so much for the shout‑out—Luci is thrilled to hear she could help you get home safely. We’re always here to support you, so if there’s anything else you need, just let us know. Safe travels! 🚀",5.0,,,
@Delta noticed that there isn’t an option to buy FC upgrades on app seatmap for all upcoming flights Is this function gone or no more UGs,@606229 In that case it usually is not avail on that flight if it does not offer it. Thank you for checking with us.  *HRO,Flight_Status_and_Upgrades,False,,Flight_Status_and_Upgrades,False,,"Hi! The upgrade option isn’t available on every flight, so it may not show up on the seat‑map for all upcoming itineraries. If you’d like to explore upgrade options for a specific flight, you can check the “My Trips” section in the app or visit our website. Let us know if you need any further assistance! *TJF",5.0,,,
"@Delta Thanks for the info, ALA. What are my other options to be upgraded? I appreciate your help!","@785220 At the moment, we still have Upgrade With Miles available on you flight. *AMV",Flight_Status_and_Upgrades,False,,Flight_Status_and_Upgrades,False,,"@Delta You’re very welcome! 🌟  
Here are a few ways you can upgrade your flight:  

1. **Delta Comfort+** – Upgrade to the extra leg‑room cabin for a small fee (subject to availability).  
2. **Miles & Cash** – Use a combination of SkyMiles and a cash payment to upgrade.  
3. **Miles‑Only Upgrade** – Redeem a full set of SkyMiles for a seat upgrade (availability varies).  
4. **Status‑Based Upgrade** – If you’re a Silver, Gold, Platinum, or Diamond member, you may receive complimentary upgrades on eligible flights.  

All upgrades are subject to seat availability, so it’s best to check your itinerary or call our reservations team for the latest options.  

Happy travels! ✈️",5.0,,,
"Hi.@Delta, I'm visiting soon &amp; would love to see the #SkyClub but not a member though- Atlanta, GA ( https://t.co/Zv492MZpcc",@197258 Good morning! You can purchase a single visit pass for $59.00. It's such a great experience in there! *TBW,Baggage_and_Amenities,False,,Baggage_and_Amenities,False,,"Hi there! 👋  
You’re welcome to visit the Atlanta Sky Club even if you’re not a member.  
You can purchase a one‑day pass at the club’s front desk or online through the Delta website.  
If you’re a Sky Miles member or have a qualifying credit card, you may also be eligible for complimentary access—just let the staff know when you arrive.  

Enjoy your visit, and let us know if there’s anything else we can help with!  

Safe travels,  
Delta Team 🌟",5.0,,,
Just boarded our @Delta flight to find a @44228 song playing throughout the cabin. What a delightful surprise!,@663666 So happy you enjoyed the music! Have a great flight.  *TMS,Praise_and_Feedback,False,,Praise_and_Feedback,False,,@123456 Glad you’re enjoying the soundtrack! 🎶 Let us know if there’s anything else we can do to make your flight even better. *TMB,4.0,,,
"@Delta Thanks, DM sent.",@430873 Please provide the confirmation or ticket number so I can check on this for you.  *HPL,Needs_Context_or_DM,True,Customer transitioned to direct message; requires human agent to monitor private inbox.,Needs_Context_or_DM,True,User sent a DM; requires review of private data.,,,,,
"@Delta was promised a refund and never got it. Delta agent was rude, repetitive and you now lost a loyal customer",@321077 Rude behavior is unacceptable and not the impression we want to portray to our customers.  *HML,Refunds_and_Complaints,True,Billing/Refund dispute; requires financial human agent to inspect and resolve.,Refunds_and_Complaints,True,Refund not received and customer complaint about agent behavior,,,,,
@Delta Thanks !,@333951 You're very welcome! *ABN,Praise_and_Feedback,False,,Praise_and_Feedback,False,,@Delta You’re very welcome! Have a great day. *TMS,5.0,,,
Got bumped to Delta Comfort+. Great experience with @Delta on the US-Europe sector. The eyepad amenity kit was great for sleeping #Skymiles,"@410643 Hi, Masoom. Congrats on the bump to Comfort + and thanks for your public compliments of our services. *HJH",Praise_and_Feedback,False,,Praise_and_Feedback,False,,"Hi there!  
Thank you for sharing your experience. We’re delighted you enjoyed the eyepad amenity kit and that your US‑Europe flight went smoothly. If you have any questions about your Comfort+ upgrade or anything else, just let us know—we’re here to help!  

Safe travels,  
Delta Team 🌍✈️",5.0,,,
@Delta Anna Holger is a stone cold badass. She totally came through for me and deserves a goddamn promotion/raise/endless high-fives. 👍,@389917 Thanks for recognizing our employee Anna Holger. We appreciate that and we appreciate you! Thanks. *TLT,Praise_and_Feedback,False,,Praise_and_Feedback,False,,"Thanks, Anna, for the shout‑out! I’ll forward your kind words to the leadership team so they can recognize her hard work. Have a great day! 👍 *TJF",5.0,,,
I literally just remembered that @Delta never reimbursed my family for our flight tickets like they said they were going to.😠😠😠,"@163465 HI Brittany. I'm sorry about that. Can you DM me the ticket numbers, and I'll be happy to check into this for you.  *TMS... 1/2",Refunds_and_Complaints,True,Refund dispute; requires human financial agent to look over.,Refunds_and_Complaints,True,Refund claim requires case-specific investigation,,,,,
"Out of all the airlines, I think @Delta is the safest. Great service and the cabin is always taken care of. Whenever I fly, it’s @Delta https://t.co/5r4vdxxNuA",@158913 Thanks! It is our pleasure to take care of you when you fly with us! 😊 *TDL,Praise_and_Feedback,False,,Praise_and_Feedback,False,,Thank you for the kind words! We’re thrilled to have you as a valued traveler and look forward to welcoming you on board again soon. Safe travels! ✈️ *TSE,5.0,,,
"@Delta Looks like there were broken seats in First Class on this plane. I get it, but why was I selected vs. someone else?","@219836 Oh wow I totally understand the frustration, Maulik. Did our flight crew provide any direction on next steps?  ^HDR",Refunds_and_Complaints,True,"Complain regarding physical inconvenience over damaged seats, should be handled by human agent.",Refunds_and_Complaints,True,Specific complaint about seat condition and selection requiring investigation,,,,,
@Delta has there been any confirmation yet on when Delta will fly the 747 for the truly final time?,"@353540 Good morning Stephen, we do not have that information just yet. *TBW",Flight_Status_and_Upgrades,False,,Flight_Status_and_Upgrades,False,,"Hi! We’ve already retired our 747 fleet, so there won’t be any future 747 passenger flights. The last one operated from Seoul to Detroit on December 17, 2017. If you’d like to see a 747 up close, feel free to visit the Delta Museum where the decommissioned aircraft is on display. Safe travels!",5.0,,,
@delta I can't check in 'cause your app nor web page will accept my passport number!,"@613821 Oh no! I'm here to help. Please DM your confirmation number, here, for assistance.  *TSE https://t.co/6iDGBJAc2m",Flight_Status_and_Upgrades,True,"International check-in failure, requires secure passport verification and PII handling.",Needs_Context_or_DM,True,Check-in issue requiring booking-specific investigation,,,,,
Waited 10 mins for @Delta gate agent to finish a personal call before she asked what I wanted. Customer service is dying,@788876 We're sorry to hear this. Please accept our sincere apology and know that we expect our gate agents to be courteous at all times.  *TJM,Refunds_and_Complaints,True,Staff misconduct and service complaint requiring supervisor review.,Refunds_and_Complaints,True,Customer complaint about gate agent delay,,,,,
Thank you @delta for sucking. Stuck on the tarmac in Seattle.,@378039 Hello Thomas. I'm very sorry to hear this. Hope we can get you on your way shortly. *CTB,Refunds_and_Complaints,True,Service complaint which requires human agent to look over.,Refunds_and_Complaints,True,Flight delay complaint requiring investigation,,,,,
