text_customer,text_delta,ground_truth_intent,escalate_boolean,escalation_reason
Luci at @Delta deserves all the awards for helping me get on a new flight so can make it home today. I'd be stranded 🙌🏼 #flightdelays,"@543037 Ashley, I am happy to hear about your experience with Luci. I will be glad to forward your comments on to her leadership team.  *TBW",,,
@Delta noticed that there isn’t an option to buy FC upgrades on app seatmap for all upcoming flights Is this function gone or no more UGs,@606229 In that case it usually is not avail on that flight if it does not offer it. Thank you for checking with us.  *HRO,,,
"@Delta Thanks for the info, ALA. What are my other options to be upgraded? I appreciate your help!","@785220 At the moment, we still have Upgrade With Miles available on you flight. *AMV",,,
"Hi.@Delta, I'm visiting soon &amp; would love to see the #SkyClub but not a member though- Atlanta, GA ( https://t.co/Zv492MZpcc",@197258 Good morning! You can purchase a single visit pass for $59.00. It's such a great experience in there! *TBW,,,
Just boarded our @Delta flight to find a @44228 song playing throughout the cabin. What a delightful surprise!,@663666 So happy you enjoyed the music! Have a great flight.  *TMS,,,
"@Delta Thanks, DM sent.",@430873 Please provide the confirmation or ticket number so I can check on this for you.  *HPL,,,
"@Delta was promised a refund and never got it. Delta agent was rude, repetitive and you now lost a loyal customer",@321077 Rude behavior is unacceptable and not the impression we want to portray to our customers.  *HML,,,
@Delta Thanks !,@333951 You're very welcome! *ABN,,,
Got bumped to Delta Comfort+. Great experience with @Delta on the US-Europe sector. The eyepad amenity kit was great for sleeping #Skymiles,"@410643 Hi, Masoom. Congrats on the bump to Comfort + and thanks for your public compliments of our services. *HJH",,,
@Delta Anna Holger is a stone cold badass. She totally came through for me and deserves a goddamn promotion/raise/endless high-fives. 👍,@389917 Thanks for recognizing our employee Anna Holger. We appreciate that and we appreciate you! Thanks. *TLT,,,
I literally just remembered that @Delta never reimbursed my family for our flight tickets like they said they were going to.😠😠😠,"@163465 HI Brittany. I'm sorry about that. Can you DM me the ticket numbers, and I'll be happy to check into this for you.  *TMS... 1/2",,,
"Out of all the airlines, I think @Delta is the safest. Great service and the cabin is always taken care of. Whenever I fly, it’s @Delta https://t.co/5r4vdxxNuA",@158913 Thanks! It is our pleasure to take care of you when you fly with us! 😊 *TDL,,,
"@Delta Looks like there were broken seats in First Class on this plane. I get it, but why was I selected vs. someone else?","@219836 Oh wow I totally understand the frustration, Maulik. Did our flight crew provide any direction on next steps?  ^HDR",,,
@Delta has there been any confirmation yet on when Delta will fly the 747 for the truly final time?,"@353540 Good morning Stephen, we do not have that information just yet. *TBW",,,
@delta I can't check in 'cause your app nor web page will accept my passport number!,"@613821 Oh no! I'm here to help. Please DM your confirmation number, here, for assistance.  *TSE https://t.co/6iDGBJAc2m",,,
Waited 10 mins for @Delta gate agent to finish a personal call before she asked what I wanted. Customer service is dying,@788876 We're sorry to hear this. Please accept our sincere apology and know that we expect our gate agents to be courteous at all times.  *TJM,,,
Thank you @delta for sucking. Stuck on the tarmac in Seattle.,@378039 Hello Thomas. I'm very sorry to hear this. Hope we can get you on your way shortly. *CTB,,,
@824 boarding my plane and bag still says it's on the previous flight...,@412785 Hi Brian. Your bag is loaded on to your next flight.  *TMS,,,
This is bs for a 12+ hr flight @Delta.  I'm 6'5 so thought I'd be in front row.  Ap is misleading. https://t.co/lyW6MPAYjf,"@635904 Hello, Colby. If you need any help, let us know.  *ARD",,,
"@Delta Special thanks to the amazing flight crew for their leadership, and for letting us know we are all part of the @Delta family now.",@525536 You are very welcome. We are honored to have you aboard. Thanks for sharing. *TAC,,,
