text_customer,text_delta,ground_truth_intent,escalate_boolean,escalation_reason
Luci at @Delta deserves all the awards for helping me get on a new flight so can make it home today. I'd be stranded 🙌🏼 #flightdelays,"@543037 Ashley, I am happy to hear about your experience with Luci. I will be glad to forward your comments on to her leadership team.  *TBW",Praise_and_Feedback,False,
@Delta noticed that there isn’t an option to buy FC upgrades on app seatmap for all upcoming flights Is this function gone or no more UGs,@606229 In that case it usually is not avail on that flight if it does not offer it. Thank you for checking with us.  *HRO,Flight_Status_and_Upgrades,False,
"@Delta Thanks for the info, ALA. What are my other options to be upgraded? I appreciate your help!","@785220 At the moment, we still have Upgrade With Miles available on you flight. *AMV",Flight_Status_and_Upgrades,False,
"Hi.@Delta, I'm visiting soon &amp; would love to see the #SkyClub but not a member though- Atlanta, GA ( https://t.co/Zv492MZpcc",@197258 Good morning! You can purchase a single visit pass for $59.00. It's such a great experience in there! *TBW,Baggage_and_Amenities,False,
Just boarded our @Delta flight to find a @44228 song playing throughout the cabin. What a delightful surprise!,@663666 So happy you enjoyed the music! Have a great flight.  *TMS,Praise_and_Feedback,False,
"@Delta Thanks, DM sent.",@430873 Please provide the confirmation or ticket number so I can check on this for you.  *HPL,Needs_Context_or_DM,True,Customer transitioned to direct message; requires human agent to monitor private inbox.
"@Delta was promised a refund and never got it. Delta agent was rude, repetitive and you now lost a loyal customer",@321077 Rude behavior is unacceptable and not the impression we want to portray to our customers.  *HML,Refunds_and_Complaints,True,Billing/Refund dispute; requires financial human agent to inspect and resolve.
@Delta Thanks !,@333951 You're very welcome! *ABN,Praise_and_Feedback,False,
Got bumped to Delta Comfort+. Great experience with @Delta on the US-Europe sector. The eyepad amenity kit was great for sleeping #Skymiles,"@410643 Hi, Masoom. Congrats on the bump to Comfort + and thanks for your public compliments of our services. *HJH",Praise_and_Feedback,False,
@Delta Anna Holger is a stone cold badass. She totally came through for me and deserves a goddamn promotion/raise/endless high-fives. 👍,@389917 Thanks for recognizing our employee Anna Holger. We appreciate that and we appreciate you! Thanks. *TLT,Praise_and_Feedback,False,
I literally just remembered that @Delta never reimbursed my family for our flight tickets like they said they were going to.😠😠😠,"@163465 HI Brittany. I'm sorry about that. Can you DM me the ticket numbers, and I'll be happy to check into this for you.  *TMS... 1/2",Refunds_and_Complaints,True,Refund dispute; requires human financial agent to look over.
"Out of all the airlines, I think @Delta is the safest. Great service and the cabin is always taken care of. Whenever I fly, it’s @Delta https://t.co/5r4vdxxNuA",@158913 Thanks! It is our pleasure to take care of you when you fly with us! 😊 *TDL,Praise_and_Feedback,False,
"@Delta Looks like there were broken seats in First Class on this plane. I get it, but why was I selected vs. someone else?","@219836 Oh wow I totally understand the frustration, Maulik. Did our flight crew provide any direction on next steps?  ^HDR",Refunds_and_Complaints,True,"Complain regarding physical inconvenience over damaged seats, should be handled by human agent."
@Delta has there been any confirmation yet on when Delta will fly the 747 for the truly final time?,"@353540 Good morning Stephen, we do not have that information just yet. *TBW",Flight_Status_and_Upgrades,False,
@delta I can't check in 'cause your app nor web page will accept my passport number!,"@613821 Oh no! I'm here to help. Please DM your confirmation number, here, for assistance.  *TSE https://t.co/6iDGBJAc2m",Flight_Status_and_Upgrades,True,"International check-in failure, requires secure passport verification and PII handling."
Waited 10 mins for @Delta gate agent to finish a personal call before she asked what I wanted. Customer service is dying,@788876 We're sorry to hear this. Please accept our sincere apology and know that we expect our gate agents to be courteous at all times.  *TJM,Refunds_and_Complaints,True,Staff misconduct and service complaint requiring supervisor review.
Thank you @delta for sucking. Stuck on the tarmac in Seattle.,@378039 Hello Thomas. I'm very sorry to hear this. Hope we can get you on your way shortly. *CTB,Refunds_and_Complaints,True,Service complaint which requires human agent to look over.
@824 boarding my plane and bag still says it's on the previous flight...,@412785 Hi Brian. Your bag is loaded on to your next flight.  *TMS,Baggage_and_Amenities,True,Possible glitch or service abnormality which requires immediate review.
This is bs for a 12+ hr flight @Delta.  I'm 6'5 so thought I'd be in front row.  Ap is misleading. https://t.co/lyW6MPAYjf,"@635904 Hello, Colby. If you need any help, let us know.  *ARD",Refunds_and_Complaints,True,"Service complain regarding flight experience inconvenience, should be handled by a supervisor."
"@Delta Special thanks to the amazing flight crew for their leadership, and for letting us know we are all part of the @Delta family now.",@525536 You are very welcome. We are honored to have you aboard. Thanks for sharing. *TAC,Praise_and_Feedback,False,
"Dear @Delta, without this country your company wouldn't exist. I expect a very public and sincere apology. Should be ashamed. https://t.co/maGBMsHsGE","@548479 ...Delta Honor Guard is one symbol of Delta’s pledge to the men and women of the armed forces, and it represents our broad... 2/4",Refunds_and_Complaints,True,"Frustrated customer complain regarding services, should be escalated to a human agent to look over."
@Delta DL1287. The pilot has instructed us to deplane as they’re not sure where the smell is coming from. Any chance to put me on another flight?,"@261047 Yes, I'd be happy to help rebook you. Please DM your confirm #.  *TJW https://t.co/6iDGBJAc2m",Flight_Status_and_Upgrades,True,"Question regarding immediate flight status, should be handled effectively and correctly by a human agent."
"Hi @delta the process of changing a flight online resulted in me turning my round trip ticket to Sydney into a one way 😭... fixed now.

VERY confusing design on your website. I could gladly help you fix it. #ux",@238350 I'm very sorry for the confusion in changing your flight online. Glad to hear you got it fixed. We are always here if you need further assistance.  *TJW,Praise_and_Feedback,False,
"@Delta Thank you. I had read the info and thought, “a video would certainly help this.” I’ll send my daughter from Japan to MSP next summer. I think the conditions are different for international UMNR.","@382840 Hi, Justin. I am glad that we were able to assist you with this matter. For any questions that you may have for UMNR's please contact 1-800-325-8847 as this is a dedicated line. Please tweet us, if you need us. Thank you. *ATJ",Praise_and_Feedback,False,
You need to provide them more space in the middle since my four flights I have seen 4 passengers hit by meal carts @delta @264816 https://t.co/E4s41J0DjM,@598330 We appreciate your feedback on this matter and will forward to Leadership. *AJY,Refunds_and_Complaints,True,"Inconvenience regarding several flight experiences, should be escalated to a human agent for review."
@Delta It was two moody gate attendants.  We all have bad days.  I'm pretty sure my flight will be enjoyable.  Takeoff DL2040!,"@700583 Please do reach back out to us if any assistance is needed, William.  *HMB",Refunds_and_Complaints,True,"Complaint regarding staff misbehavior, should be escalated to supervisor for further review."
@Delta DL 5733 and I cannot miss my shuttle to my families house,"@285507 Can you please DM me your confirmation number, so I can further assist you? *TMC https://t.co/6iDGBJAc2m",Flight_Status_and_Upgrades,True,Immediate update regarding the flight required. Best to escalate to a human agent.
@Delta Not any airport but like hypothetically do leave like from Saskatoon to New York,"@340602 Hi, Delta flights from Saskatoon to Minneapolis. *TMC",Needs_Context_or_DM,False,
I need a little assistance please @delta,"@683178 Hey Leo, how can I help? *TBT",Needs_Context_or_DM,True,"Detailed assistance required, best to assign a human agent."
@Delta @delta is the fare the same?,"@156661 Yes, I have availability and the same fare so the fee will only be $75 to change the ticket.  *TDH",Needs_Context_or_DM,False,
"Filling up (at @Delta Sky Club in Atlanta, GA) https://t.co/Up0K3phBkU",@179390 Thank you for flying with us today! *ALS,Baggage_and_Amenities,False,
"@Delta , 35 minutes to an hour 2 minute wait just to talk to a human about a flight??  Second time in 2 weeks has been like this.  HORRIBLE customer service!!!!!!    #understaffed   #customerlast #deltaairlines",@757206 I am sorry to hear about the long wait times for our reservations team. Is there anything I can help you with via Twitter? *TBW,Refunds_and_Complaints,True,"Negative customer experience complain involving delays, should be escalated to a supervisor for review."
